"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Z Gallerie LLC","","$15,000,000","$0","$15,000,000","2016","20160427","miscellaneous offenses","customs duty evasion","","The Department of Justice announced that Z Gallerie LLC agreed to pay $15 million to resolve allegations that the company engaged in a scheme to evade customs duties on imports of wooden bedroom furniture from the People's Republic of China, in violation of the False Claims Act.  Z Gallerie sells upscale furniture and accessories in stores across the United States and through the Internet.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/california-based-z-gallerie-llc-agrees-pay-15-million-settle-false-claims-act-suit-alleging",""
"Ikon Global Markets Inc.","","$200,000","$0","$200,000","2017","20170831","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7606-17",""
"Morgan Stanley","Morgan Stanley","$350,000","$0","$350,000","2017","20171102","miscellaneous offenses","data submission deficiencies","","The Commodity Futures Trading Commission issued an Order filing and simultaneously settling charges against Morgan Stanley, a registered Futures Commission Merchant (FCM), for non-compliance with applicable rules governing Part 17 Large Trader reports to the CFTC spanning a ten-year period and affecting thousands of line items of information.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","MS","financial services","financial services","http://www.cftc.gov/PressRoom/PressReleases/pr7638-17",""
"Citibank N.A.","Citigroup","$550,000","$0","$550,000","2017","20170925","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission issued an Order filing and simultaneously settling charges against Citibank, N.A. and Citigroup Global Markets Limited for failing to report Legal Entity Identifier information for swap transactions properly to a Swap Data Repository (SDR), failing to establish the electronic systems and procedures necessary to do so, failing to correct errors in LEI data previously reported to an SDR, and failing to perform supervisory duties diligently with respect to LEI swap data reporting, all in violation of CFTC Regulations.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","C","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr7616-17",""
"Furie Operating Alaska LLC","","$10,000,000","$0","$10,000,000","2017","20170404","miscellaneous offenses","Jones Act violation","","","federal","agency action","U.S. Attorney-District of Alaska","civil","","","","","","Alaska","","","","","","","","","","","","https://www.justice.gov/usao-ak/pr/alaska-oil-company-agrees-pay-10-million-penalties-settle-federal-claims-violating-jones",""
"RGB Inc.","","$2,484,500","$0","$2,484,500","2017","20170316","miscellaneous offenses","illegal gambling business","","","federal","agency action","U.S. Attorney-Eastern District of North Carolina","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-ednc/pr/rgb-inc-pleads-guilty-and-sentenced-gambling-violations",""
"Stag Arms LLC","","$500,000","$0","$500,000","2016","20160517","miscellaneous offenses","firearms violation","","","federal","agency action","U.S. Attorney-District of Connecticut","criminal","","","","","","Connecticut","New Britain","","","","","","","","","","","https://www.justice.gov/usao-ct/pr/new-britain-firearms-manufacturer-former-owner-sentenced-violating-federal-firearms-laws",""
"Beckmann Technologies","","$75,000","$0","$75,000","2016","20160302","miscellaneous offenses","intellectual property violation","","","federal","agency action","U.S. Attorney-Eastern District of Louisiana","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-edla/pr/north-carolina-man-and-his-company-sentenced-manufacturing-and-selling-fake-mercedes",""
"Carmen Group","","$125,000","$0","$125,000","2015","20150828","miscellaneous offenses","data submission deficiencies","","Carmen Group, a lobbying firm based in Washington, D.C.,  agreed to pay a civil penalty of $125,000 in order to resolve allegations that it repeatedly failed to file lobbying and contribution disclosure reports that are required by the Lobbying Disclosure Act.","federal","agency action","U.S. Attorney-District of Columbia","civil","","","","","","District of Columbia","Washington","","","","","","","","","","","https://www.justice.gov/usao-dc/pr/lobbying-firm-agrees-pay-125000-civil-penalty-violating-lobbying-disclosure-act",""
"Robert Berg Enterprises Inc.","","$10,000","$0","$10,000","2015","20150807","miscellaneous offenses","intellectual property violation","","Trafficking in counterfeit goods.","federal","agency action","U.S. Attorney-District of Maine","criminal","","","","","","Maine","","","","","","","","","","","","https://www.justice.gov/usao-me/pr/maine-corporation-fined-10000-counterfeit-goods-trafficking",""
"H&R Enterprises LLC","","$6,500","$0","$6,500","2015","20150618","miscellaneous offenses","Buy America requirements","","","federal","agency action","U.S. Attorney-Northern District of Oklahoma","civil","","","","","","Oklahoma","Sapulpa","","","","","","","","","","","https://www.justice.gov/usao-ndok/pr/settlement-reached-fraud-lawsuit-against-sapulpa-company",""
"World Triathlon Corporation (Ironman)","","$2,761,910","$0","$2,761,910","2015","20150513","miscellaneous offenses","illegal gambling business","","World Triathlon Corporation (Ironman) agreed to forfeit $2,761,910 to resolve allegations that it illegally charged athletes for a chance to win the opportunity to compete in the Ironman World Championship, held each October in Hawaii.","federal","agency action","U.S. Attorney-Middle District of Florida","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/usao-mdfl/pr/world-triathlon-corporation-ironman-forfeits-more-27-million-lottery-proceeds",""
"Connectzone.com LLC","","$716,778","$0","$716,778","2014","20140711","miscellaneous offenses","intellectual property violation","trade violations","","federal","agency action","U.S. Attorney-Western District of Washington","civil","","","","","","Washington","Lynnwood","","","","","","","","","","","https://www.justice.gov/usao-wdwa/pr/lynnwood-company-and-owner-sentenced-trafficking-counterfeit-goods",""
"Extradition Transport of America LLC","","$80,000","$0","$80,000","2013","20130916","miscellaneous offenses","interstate prisoner transport violation","","Extradition Transport of America settled  alleged violations of the Interstate Transportation of Dangerous Criminals Act of 2000 (also known as Jeanna's Act) relating to the October 2011 escape of Joseph M. Megna from ETA's custody at the Oriska Rest Area along Interstate 94 in North Dakota. This suit was the first ever filed under Jeanna's Act and sought restitution and civil penalties based on the escape of a prisoner froma private prisoner transport company.","federal","agency action","U.S. Attorney-District of North Dakota","civil","","","","","","North Dakota","","","","","","","","","","","","https://www.justice.gov/usao-nd/pr/us-attorney-s-office-announces-settlement-claims-against-private-prisoner-transport",""
"Livingstone Inc. dba Lee's Check Cashing","","$15,000","$0","$15,000","2012","20121218","miscellaneous offenses","data submission deficiencies","","A check cashing business in Kansas City, Kan., was fined $15,000 for failing to make currency transaction reports required by federal law.","federal","agency action","U.S. Attorney-District of Kansas","civil","","","","","","Kansas","Kansas City","","","","","","","","","","","https://www.justice.gov/archive/usao/ks/PressReleases/2012/Dec%202012/Dec18a.html",""
